Source;Target;Type;Weight
2;16;Undirected;0.5
2;22;Undirected;0.5
6;7;Undirected;10
6;8;Undirected;10
6;25;Undirected;0.5
6;36;Undirected;5
6;34;Undirected;5
6;38;Undirected;0.5
6;40;Undirected;0.5
6;10;Undirected;8
6;41;Undirected;5
6;17;Undirected;5
6;43;Undirected;5
6;18;Undirected;5
6;50;Undirected;2
6;51;Undirected;2
6;54;Undirected;10
6;55;Undirected;5
6;19;Undirected;5
6;58;Undirected;5
6;59;Undirected;5
6;21;Undirected;8
6;16;Undirected;0.5
6;22;Undirected;0.5
7;8;Undirected;10
7;23;Undirected;5
7;24;Undirected;5
7;27;Undirected;5
7;28;Undirected;5
7;26;Undirected;5
7;33;Undirected;2
7;39;Undirected;5
7;40;Undirected;0.5
7;10;Undirected;8
7;41;Undirected;5
7;17;Undirected;5
7;43;Undirected;5
7;18;Undirected;5
7;53;Undirected;5
7;52;Undirected;5
7;56;Undirected;0.5
7;57;Undirected;0.5
7;58;Undirected;5
7;59;Undirected;5
7;60;Undirected;5
7;63;Undirected;0.5
7;64;Undirected;0.5
7;21;Undirected;8
7;16;Undirected;0.5
7;22;Undirected;0.5
8;23;Undirected;5
8;24;Undirected;5
8;27;Undirected;5
8;28;Undirected;5
8;26;Undirected;5
8;39;Undirected;5
8;40;Undirected;0.5
8;10;Undirected;8
8;41;Undirected;5
8;17;Undirected;5
8;43;Undirected;5
8;18;Undirected;5
8;52;Undirected;5
8;53;Undirected;5
8;56;Undirected;0.5
8;57;Undirected;0.5
8;58;Undirected;5
8;59;Undirected;5
8;21;Undirected;8
8;14;Undirected;8
8;63;Undirected;0.5
8;64;Undirected;0.5
8;16;Undirected;0.5
8;22;Undirected;0.5
10;40;Undirected;0.5
11;12;Undirected;5
11;41;Undirected;5
12;41;Undirected;5
14;21;Undirected;8
14;16;Undirected;0.5
14;22;Undirected;0.5
16;21;Undirected;0.5
17;18;Undirected;5
17;43;Undirected;5
17;41;Undirected;5
17;54;Undirected;5
17;19;Undirected;5
18;43;Undirected;5
18;41;Undirected;5
18;54;Undirected;5
21;22;Undirected;0.5
23;24;Undirected;5
23;27;Undirected;5
23;28;Undirected;5
23;26;Undirected;5
24;27;Undirected;5
24;28;Undirected;5
24;26;Undirected;5
27;28;Undirected;5
27;26;Undirected;5
28;26;Undirected;5
29;31;Undirected;0.5
30;32;Undirected;0.5
34;36;Undirected;0.5
34;38;Undirected;0.5
34;37;Undirected;8
42;41;Undirected;5
43;41;Undirected;5
41;44;Undirected;0.5
41;35;Undirected;0.5
45;46;Undirected;5
46;48;Undirected;5
46;49;Undirected;5
52;56;Undirected;0.5
52;57;Undirected;0.5
53;56;Undirected;0.5
53;57;Undirected;0.5
2;1;Undirected;10
2;6;Undirected;10
2;8;Undirected;10
2;7;Undirected;10
2;22;Undirected;0.5
2;65;Undirected;0.5
2;68;Undirected;5
2;71;Undirected;0.5
2;74;Undirected;5
2;75;Undirected;0.5
2;76;Undirected;8
2;77;Undirected;0.5
2;79;Undirected;8
2;80;Undirected;5
2;81;Undirected;5
2;82;Undirected;5
2;83;Undirected;5
2;9;Undirected;8
2;84;Undirected;5
2;85;Undirected;5
2;86;Undirected;5
2;88;Undirected;0.5
2;89;Undirected;5
2;90;Undirected;0.5
2;91;Undirected;8
2;93;Undirected;0.5
2;94;Undirected;0.5
2;20;Undirected;5
2;99;Undirected;2
2;100;Undirected;5
2;101;Undirected;2
2;102;Undirected;2
2;105;Undirected;2
2;107;Undirected;2
2;108;Undirected;2
2;109;Undirected;2
2;110;Undirected;2
2;112;Undirected;2
2;114;Undirected;5
2;115;Undirected;5
2;116;Undirected;5
1;6;Undirected;10
1;8;Undirected;10
1;7;Undirected;10
1;3;Undirected;10
1;5;Undirected;10
1;4;Undirected;10
1;68;Undirected;5
1;69;Undirected;8
1;71;Undirected;0.5
1;74;Undirected;5
1;17;Undirected;5
1;77;Undirected;0.5
1;79;Undirected;8
1;80;Undirected;5
1;81;Undirected;5
1;83;Undirected;5
1;9;Undirected;8
1;85;Undirected;5
1;86;Undirected;5
1;87;Undirected;5
1;78;Undirected;5
1;88;Undirected;5
1;92;Undirected;5
1;93;Undirected;0.5
1;94;Undirected;0.5
1;95;Undirected;5
1;96;Undirected;5
1;98;Undirected;5
1;103;Undirected;2
1;104;Undirected;2
1;111;Undirected;2
1;106;Undirected;2
1;113;Undirected;5
1;114;Undirected;5
1;115;Undirected;5
1;18;Undirected;5
1;117;Undirected;5
1;11;Undirected;5
1;121;Undirected;5
6;7;Undirected;10
6;8;Undirected;10
6;3;Undirected;2
6;5;Undirected;2
6;4;Undirected;2
22;66;Undirected;8
66;1;Undirected;0.5
66;6;Undirected;0.5
66;8;Undirected;0.5
66;7;Undirected;0.5
3;4;Undirected;10
5;4;Undirected;10
3;5;Undirected;10
67;2;Undirected;0.5
67;1;Undirected;0.5
67;6;Undirected;0.5
6;68;Undirected;5
6;72;Undirected;8
6;73;Undirected;8
6;71;Undirected;0.5
70;69;Undirected;0.5
6;70;Undirected;5
6;17;Undirected;5
8;70;Undirected;5
8;17;Undirected;5
76;75;Undirected;0.5
80;81;Undirected;8
80;83;Undirected;8
80;84;Undirected;8
80;85;Undirected;8
80;86;Undirected;0.5
83;84;Undirected;8
83;85;Undirected;8
83;86;Undirected;0.5
83;81;Undirected;8
84;85;Undirected;8
84;86;Undirected;0.5
84;81;Undirected;8
85;86;Undirected;0.5
85;81;Undirected;8
81;86;Undirected;0.5
6;78;Undirected;5
6;92;Undirected;5
8;87;Undirected;5
8;88;Undirected;5
7;88;Undirected;0.5
7;92;Undirected;5
7;90;Undirected;0.5
78;92;Undirected;8
91;78;Undirected;8
17;20;Undirected;5
17;92;Undirected;5
97;1;Undirected;5
104;103;Undirected;0.5
107;106;Undirected;5
104;108;Undirected;5
113;18;Undirected;5
7;117;Undirected;8
6;117;Undirected;5
8;116;Undirected;8
17;18;Undirected;5
117;118;Undirected;0.5
11;121;Undirected;5
10;119;Undirected;10
10;120;Undirected;10
119;120;Undirected;10
1;2;Undirected;10
1;6;Undirected;10
1;7;Undirected;10
1;8;Undirected;10
1;20;Undirected;5
1;12;Undirected;0.5
1;13;Undirected;0.5
1;122;Undirected;0.5
1;123;Undirected;5
1;124;Undirected;5
1;125;Undirected;0.5
1;126;Undirected;0.5
1;127;Undirected;0.5
1;128;Undirected;0.5
1;129;Undirected;0.5
1;130;Undirected;0.5
1;17;Undirected;5
1;150;Undirected;5
1;152;Undirected;0.5
1;153;Undirected;2
1;154;Undirected;2
1;179;Undirected;5
1;180;Undirected;5
1;181;Undirected;5
1;183;Undirected;0.5
1;10;Undirected;8
1;184;Undirected;5
1;185;Undirected;5
1;186;Undirected;5
1;187;Undirected;5
1;188;Undirected;5
1;189;Undirected;5
1;190;Undirected;5
1;200;Undirected;8
1;194;Undirected;8
1;196;Undirected;5
1;197;Undirected;5
1;198;Undirected;5
1;191;Undirected;0.5
1;192;Undirected;0.5
1;195;Undirected;5
1;199;Undirected;8
1;201;Undirected;0.5
1;202;Undirected;0.5
1;203;Undirected;0.5
1;206;Undirected;2
1;214;Undirected;2
1;215;Undirected;2
1;216;Undirected;2
1;220;Undirected;0.5
1;221;Undirected;0.5
1;222;Undirected;0.5
1;223;Undirected;0.5
1;239;Undirected;5
1;233;Undirected;0.5
1;236;Undirected;0.5
1;240;Undirected;2
1;241;Undirected;2
1;242;Undirected;2
1;238;Undirected;8
1;245;Undirected;2
1;246;Undirected;5
1;247;Undirected;0.5
1;248;Undirected;5
1;251;Undirected;0.5
1;252;Undirected;0.5
1;250;Undirected;5
1;263;Undirected;0.5
1;264;Undirected;0.5
1;265;Undirected;0.5
1;266;Undirected;0.5
1;273;Undirected;2
1;274;Undirected;2
1;275;Undirected;2
1;259;Undirected;2
1;276;Undirected;2
1;277;Undirected;2
1;278;Undirected;2
1;279;Undirected;2
1;262;Undirected;0.5
1;267;Undirected;0.5
1;268;Undirected;0.5
1;269;Undirected;0.5
1;270;Undirected;0.5
1;271;Undirected;0.5
1;272;Undirected;0.5
1;281;Undirected;2
1;284;Undirected;5
1;22;Undirected;0.5
1;16;Undirected;0.5
1;286;Undirected;10
2;6;Undirected;10
2;7;Undirected;10
2;8;Undirected;10
2;127;Undirected;0.5
2;126;Undirected;2
2;150;Undirected;5
2;162;Undirected;0.5
2;163;Undirected;2
2;164;Undirected;2
2;167;Undirected;0.5
2;168;Undirected;0.5
2;169;Undirected;0.5
2;170;Undirected;0.5
2;171;Undirected;0.5
2;172;Undirected;0.5
2;173;Undirected;0.5
2;155;Undirected;0.5
2;156;Undirected;0.5
2;179;Undirected;8
2;180;Undirected;8
2;181;Undirected;8
2;182;Undirected;0.5
2;183;Undirected;0.5
2;10;Undirected;8
2;184;Undirected;8
2;185;Undirected;8
2;186;Undirected;8
2;187;Undirected;5
2;200;Undirected;5
2;194;Undirected;8
2;196;Undirected;5
2;197;Undirected;5
2;193;Undirected;5
2;191;Undirected;0.5
2;192;Undirected;0.5
2;195;Undirected;5
2;198;Undirected;5
2;199;Undirected;8
2;201;Undirected;0.5
2;202;Undirected;0.5
2;203;Undirected;0.5
2;206;Undirected;2
2;211;Undirected;2
2;213;Undirected;8
2;214;Undirected;2
2;215;Undirected;2
2;216;Undirected;2
2;219;Undirected;8
2;224;Undirected;8
2;220;Undirected;0.5
2;221;Undirected;0.5
2;222;Undirected;0.5
2;223;Undirected;0.5
2;14;Undirected;8
2;233;Undirected;0.5
2;234;Undirected;5
2;235;Undirected;5
2;236;Undirected;0.5
2;238;Undirected;8
2;245;Undirected;2
2;246;Undirected;5
2;247;Undirected;0.5
2;248;Undirected;5
2;251;Undirected;0.5
2;252;Undirected;0.5
2;249;Undirected;5
2;263;Undirected;0.5
2;264;Undirected;0.5
2;265;Undirected;0.5
2;266;Undirected;0.5
2;267;Undirected;5
2;268;Undirected;5
2;262;Undirected;5
2;269;Undirected;5
2;270;Undirected;5
2;271;Undirected;5
2;272;Undirected;5
2;260;Undirected;5
2;261;Undirected;5
2;281;Undirected;0.5
2;280;Undirected;0.5
2;282;Undirected;5
2;16;Undirected;0.5
2;22;Undirected;0.5
2;285;Undirected;5
2;15;Undirected;0.5
2;286;Undirected;10
6;7;Undirected;10
6;8;Undirected;10
6;150;Undirected;5
6;151;Undirected;8
6;174;Undirected;8
6;175;Undirected;8
6;159;Undirected;5
6;161;Undirected;5
6;194;Undirected;8
6;196;Undirected;5
6;197;Undirected;5
6;198;Undirected;5
6;191;Undirected;0.5
6;192;Undirected;0.5
6;195;Undirected;5
6;199;Undirected;8
6;201;Undirected;0.5
6;202;Undirected;0.5
6;203;Undirected;0.5
6;218;Undirected;8
6;212;Undirected;8
6;216;Undirected;2
6;233;Undirected;0.5
6;234;Undirected;5
6;235;Undirected;5
6;238;Undirected;8
6;246;Undirected;5
6;253;Undirected;5
6;254;Undirected;5
6;255;Undirected;5
6;256;Undirected;5
6;257;Undirected;5
6;252;Undirected;0.5
6;281;Undirected;2
6;284;Undirected;5
6;22;Undirected;0.5
6;16;Undirected;0.5
6;286;Undirected;10
7;8;Undirected;10
7;150;Undirected;8
7;152;Undirected;0.5
7;153;Undirected;2
7;154;Undirected;2
7;194;Undirected;5
7;193;Undirected;8
7;207;Undirected;5
7;208;Undirected;5
7;209;Undirected;5
7;210;Undirected;5
7;217;Undirected;2
7;281;Undirected;2
7;283;Undirected;8
7;286;Undirected;10
8;150;Undirected;5
8;151;Undirected;5
8;176;Undirected;5
8;211;Undirected;2
8;216;Undirected;2
8;233;Undirected;0.5
8;234;Undirected;5
8;235;Undirected;5
8;281;Undirected;2
8;283;Undirected;0.5
8;280;Undirected;0.5
8;282;Undirected;2
8;15;Undirected;0.5
131;132;Undirected;10
131;135;Undirected;5
146;20;Undirected;10
133;131;Undirected;0.5
133;132;Undirected;0.5
133;147;Undirected;8
142;139;Undirected;2
142;126;Undirected;2
142;138;Undirected;2
142;140;Undirected;2
142;141;Undirected;2
142;146;Undirected;5
142;148;Undirected;5
137;136;Undirected;2
137;134;Undirected;2
144;143;Undirected;2
126;138;Undirected;2
126;148;Undirected;2
147;131;Undirected;0.5
17;1;Undirected;5
149;138;Undirected;0.5
149;139;Undirected;0.5
149;140;Undirected;0.5
149;141;Undirected;0.5
139;140;Undirected;10
139;141;Undirected;10
140;141;Undirected;10
153;150;Undirected;8
154;150;Undirected;5
154;153;Undirected;5
155;158;Undirected;10
157;155;Undirected;10
157;158;Undirected;10
159;165;Undirected;10
159;160;Undirected;10
159;161;Undirected;5
166;177;Undirected;10
161;178;Undirected;10
183;186;Undirected;0.5
183;185;Undirected;0.5
183;10;Undirected;0.5
183;184;Undirected;0.5
187;185;Undirected;5
187;10;Undirected;5
187;184;Undirected;5
191;194;Undirected;0.5
191;192;Undirected;8
193;204;Undirected;2
193;205;Undirected;2
194;196;Undirected;8
194;197;Undirected;8
195;196;Undirected;5
195;197;Undirected;5
198;196;Undirected;5
198;197;Undirected;5
207;208;Undirected;8
207;209;Undirected;8
207;210;Undirected;8
208;209;Undirected;8
208;210;Undirected;8
209;210;Undirected;8
212;218;Undirected;8
220;225;Undirected;5
226;227;Undirected;10
227;229;Undirected;10
227;228;Undirected;10
226;229;Undirected;10
266;228;Undirected;10
229;228;Undirected;10
222;223;Undirected;5
220;230;Undirected;5
220;231;Undirected;5
230;231;Undirected;10
232;239;Undirected;5
232;233;Undirected;0.5
239;233;Undirected;0.5
237;243;Undirected;2
237;244;Undirected;0.5
236;245;Undirected;2
249;253;Undirected;8
249;254;Undirected;8
249;255;Undirected;8
249;256;Undirected;8
249;257;Undirected;8
250;253;Undirected;8
250;254;Undirected;8
250;255;Undirected;8
250;256;Undirected;8
250;257;Undirected;8
250;258;Undirected;5
250;249;Undirected;10
259;278;Undirected;2
259;278;Undirected;2
280;282;Undirected;10
280;281;Undirected;10
282;281;Undirected;10
282;283;Undirected;10
283;281;Undirected;10
16;285;Undirected;0.5
22;285;Undirected;0.5
15;16;Undirected;10
15;286;Undirected;0.5
286;16;Undirected;0.5
286;22;Undirected;0.5
286;287;Undirected;8
